Nome Cidade,UF,Latitude,Longitude,DDD,Fuso
Novo Oriente,CE,-5.52552,-40.7713,88,America/Sao_Paulo
Novo Oriente de Minas,MG,-17.4089,-41.2194,33,America/Sao_Paulo
Novo Oriente do Piauí,PI,-6.44901,-41.9261,89,America/Sao_Paulo
Novo Planalto,GO,-13.2424,-49.506,62,America/Sao_Paulo
Novo Progresso,PA,-7.14347,-55.3786,93,America/Sao_Paulo
Novo Repartimento,PA,-4.24749,-49.9499,94,America/Sao_Paulo
Novo Santo Antônio,PI,-5.28749,-41.9325,86,America/Sao_Paulo
Novo Santo Antônio,MT,-12.2875,-50.9686,66,America/Porto_Velho
Novo São Joaquim,MT,-14.9054,-53.0194,66,America/Porto_Velho
Novo Tiradentes,RS,-27.5649,-53.1837,55,America/Sao_Paulo
Novo Triunfo,BA,-10.3182,-38.4014,75,America/Sao_Paulo
Novo Xingu,RS,-27.749,-53.0639,54,America/Sao_Paulo
Novorizonte,MG,-16.0162,-42.4044,38,America/Sao_Paulo
Nuporanga,SP,-20.7296,-47.7429,16,America/Sao_Paulo
Óbidos,PA,-1.90107,-55.5208,93,America/Sao_Paulo
Ocara,CE,-4.48523,-38.5933,85,America/Sao_Paulo
Ocauçu,SP,-22.438,-49.922,14,America/Sao_Paulo
Oeiras,PI,-7.01915,-42.1283,89,America/Sao_Paulo
Oeiras do Pará,PA,-2.00358,-49.8628,91,America/Sao_Paulo
Oiapoque,AP,3.84074,-51.8331,96,America/Sao_Paulo
Olaria,MG,-21.8598,-43.9356,32,America/Sao_Paulo
Óleo,SP,-22.9435,-49.3419,14,America/Sao_Paulo
Olho d'Água,PB,-7.22118,-37.7406,83,America/Sao_Paulo
Olho d'Água das Cunhãs,MA,-4.13417,-45.1163,98,America/Sao_Paulo
Olho d'Água das Flores,AL,-9.53686,-37.2971,82,America/Sao_Paulo
Olho d'Água do Casado,AL,-9.50357,-37.8301,82,America/Sao_Paulo
Olho D'Água do Piauí,PI,-5.84125,-42.5594,86,America/Sao_Paulo
Olho d'Água Grande,AL,-10.0572,-36.8101,82,America/Sao_Paulo
